CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F105,F167,F168,F169,F170,F171,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183,F184,F185,F837,
,,,,,Age : Age 100 and over - Unit : Persons,Age : Total\ Age - Unit : Persons,Age : Age 0 to 4 - Unit : Persons,Age : Age 5 to 7 - Unit : Persons,Age : Age 8 to 9 - Unit : Persons,Age : Age 10 to 14 - Unit : Persons,Age : Age 16 to 17 - Unit : Persons,Age : Age 18 to 19 - Unit : Persons,Age : Age 20 to 24 - Unit : Persons,Age : Age 25 to 29 - Unit : Persons,Age : Age 30 to 44 - Unit : Persons,Age : Age 45 to 59 - Unit : Persons,Age : Age 60 to 64 - Unit : Persons,Age : Age 65 to 74 - Unit : Persons,Age : Age 75 to 84 - Unit : Persons,Age : Age 85 to 89 - Unit : Persons,Age : Age 90 and over - Unit : Persons,Age : Mean age - Unit : Persons,Age : Median age - Unit : Persons,Age : Age under 1 - Unit : Persons,
369,E09000002,Barking and Dagenham,Local Authorities,LA,29,185911,18676,8989,5342,12757,5246,4805,13053,14971,43463,29955,6799,9276,6982,2102,961,33.43094,32,3735,
370,E09000003,Barnet,Local Authorities,LA,127,356386,26239,13804,8548,21293,8839,7391,23913,31425,83864,62376,16912,23723,16034,4785,2890,36.81513,35,5439,
371,E09000004,Bexley,Local Authorities,LA,38,231997,15182,8535,5480,15018,6574,5903,14832,14041,47146,45928,12795,18695,13408,3403,1706,38.81379,39,2975,
372,E09000005,Brent,Local Authorities,LA,39,311215,22446,11521,7127,17942,7607,7261,24198,34698,76288,53462,12268,17944,11137,2408,1187,35.01982,32,4783,
373,E09000006,Bromley,Local Authorities,LA,68,309392,20095,11161,6900,18612,7912,6182,16119,17887,68132,62045,18492,25770,18452,5086,2729,39.89845,40,3963,
374,E09000007,Camden,Local Authorities,LA,29,220338,13168,6781,4117,9594,3540,7178,21863,25923,59573,33564,9255,12937,7897,2048,1095,35.70132,33,2889,
375,E09000008,Croydon,Local Authorities,LA,56,363378,27972,14388,8708,23130,9934,8720,23591,27692,82439,70488,17029,23155,15318,3881,2021,36.35381,35,5730,
376,E09000009,Ealing,Local Authorities,LA,79,338449,25426,12595,7790,19043,7728,6922,24552,33998,87446,58503,14196,19419,12152,3023,1633,35.43642,33,5414,
377,E09000010,Enfield,Local Authorities,LA,49,312466,24513,13047,7883,20305,8547,7711,21726,24957,70185,56854,13652,20392,13159,3449,1833,35.8829,34,4995,
378,E09000011,Greenwich,Local Authorities,LA,36,254557,20945,10443,5882,14984,5978,6943,19987,22113,65585,42269,10172,13675,8692,2452,1297,34.56843,33,4307,
379,E09000012,Hackney,Local Authorities,LA,25,246270,19149,9618,5742,13878,5270,5402,21685,33838,68805,35479,7271,9673,5775,1324,623,32.35318,30,4222,
380,E09000013,Hammersmith and Fulham,Local Authorities,LA,19,182493,11900,5446,3113,7621,2883,3483,17279,26021,52859,27248,6677,9102,5300,1297,714,34.73397,32,2745,
